zm	m1	m2	Dl	s1	s2	HLV
0.044725	28.00000000000001	17.000000000000004	204.6273361618253	0.0	0.0	310.20610536605415
0.065285	7.9810599999999985	5.507539	303.07645573264597	0.0	0.0	88.17484990095082
0.070385	7.9810599999999985	5.507539	327.913240394662	0.0	0.0	81.79482368813953
0.075955	7.9810599999999985	5.507539	355.2256027435884	0.0	0.0	75.806317294665
0.087975	7.9810599999999985	5.507539	414.8238000474972	0.0	0.0	65.46899907277219
0.08243500000000001	17.0	6.200000000000001	387.24380686759423	0.0	0.0	92.6512155147003
0.083565	7.9810599999999985	5.507539	392.853928141597	0.0	0.0	68.91593978096607
0.087335	7.9810599999999985	5.507539	411.6279860486018	0.0	0.0	65.94761983868455
0.094865	23.0	8.335599999999998	449.3880698303743	0.0	0.0	99.36052134984783
0.096315	7.9810599999999985	5.507539	456.6991273634628	0.0	0.0	59.81409403795438
0.106505	7.400000000000001	7.400000000000001	508.43859910276086	0.0	0.0	59.1875079775856
0.114495	7.9810599999999985	5.507539	549.4455927166232	0.0	0.0	50.345677668498524
0.113475	7.9810599999999985	5.507539	544.1893660400707	0.0	0.0	50.796457868359724
0.11213499999999996	7.9810599999999985	5.507539	537.2935768753646	0.0	0.0	51.40114397119335
0.115745	7.9810599999999985	5.507539	555.8955138608706	0.0	0.0	49.804103539652516
0.112345	7.400000000000001	7.400000000000001	538.3735505571144	0.0	0.0	56.12057364721879
0.111705	7.9810599999999985	5.507539	535.0830258103787	0.0	0.0	51.59826479431323
0.111195	7.400000000000001	7.400000000000001	532.4626448260225	0.0	0.0	56.69899410191466
0.122355	7.400000000000001	7.400000000000001	590.1571830873372	0.0	0.0	51.54578154729975
0.128025	37.99999999999999	34.999999999999986	619.7524740408344	0.0	0.0	170.72126855471686
0.125815	28.00000000000001	17.000000000000004	608.1945705228104	0.0	0.0	110.63605107132734
0.124805	28.00000000000001	17.000000000000004	602.9220228254859	0.0	0.0	111.52454871725612
0.132715	28.00000000000001	17.000000000000004	644.3752711521191	0.0	0.0	104.9292783725311
0.147295	20.0	11.999999999999995	721.7384303505711	0.0	0.0	72.91398905121466
0.148645	28.00000000000001	17.000000000000004	728.9637266968922	0.0	0.0	93.7857661448959
0.157345	45.0	19.0	775.776506680296	0.0	0.0	107.61051751470329
0.150795	28.00000000000001	17.000000000000004	740.4922319775591	0.0	0.0	92.46294906383437
0.150265	28.00000000000001	17.000000000000004	737.6478652473372	0.0	0.0	92.78550467904417
0.157805	28.00000000000001	17.000000000000004	778.2636505792744	0.0	0.0	88.40162441972599
0.158245	29.0	22.0	780.6437798429436	0.0	0.0	100.7066710687487
0.157185	28.00000000000001	17.000000000000004	774.911694351033	0.0	0.0	88.746144534543
0.15165499999999998	28.00000000000001	17.000000000000004	745.1110349508649	0.0	0.0	91.94437974793271
0.169685	14.021754999999999	5.496	842.9103188188496	0.0	0.0	40.50669767967235
0.168075	30.72537800000001	23.40581700000001	834.1028472164371	0.0	0.0	99.91993188952569
0.16083499999999998	28.00000000000001	17.000000000000004	794.6762911800421	0.0	0.0	86.7563523176535
0.16184500000000002	32.0	20.0	800.1587000753334	0.0	0.0	97.53551290466109
0.161305	36.0	6.599999999999998	797.2267950913771	0.0	0.0	55.571736435135044
0.162205	27.0	23.0	802.1142170238118	0.0	0.0	97.55820582564529
0.162205	27.0	23.0	802.1142170238118	0.0	0.0	97.55820582564529
0.16375499999999998	8.3	8.1	810.5421437430617	0.0	0.0	41.67746498672679
0.17336500000000002	14.021754999999999	5.496	863.0960073293147	0.0	0.0	39.64921460733745
0.188795	14.021754999999999	5.496	948.5492487023821	0.0	0.0	36.41912635177373
0.208595	27.0	23.0	1060.1040461947323	0.0	0.0	76.3025568726772
0.209505	14.021754999999999	5.496	1065.2816367252997	0.0	0.0	32.8346280861038
0.207745	14.021754999999999	5.496	1055.2718188786937	0.0	0.0	33.11132935708502
0.2054050000000001	45.0	19.0	1041.9888919536277	0.0	0.0	82.58209227604306
0.208595	27.0	23.0	1060.1040461947323	0.0	0.0	76.3025568726772
0.204935	14.021754999999999	5.496	1039.3244816984804	0.0	0.0	33.56301133503012
0.21500500000000008	45.0	19.0	1096.66836508837	0.0	0.0	78.92496555838898
0.217845	27.0	23.0	1112.9379743370932	0.0	0.0	73.15472437153241
0.217845	27.0	23.0	1112.9379743370932	0.0	0.0	73.15472437153241
0.216515	20.0	11.999999999999995	1105.313459668737	0.0	0.0	49.71360678096509
0.216455	43.99999999999999	35.99999999999999	1104.969716410482	0.0	0.0	108.37066497878169
0.210545	14.021754999999999	5.496	1071.204277083936	0.0	0.0	32.67330858877115
0.216515	20.0	11.999999999999995	1105.313459668737	0.0	0.0	49.71360678096509
0.223655	29.6294	28.9019	1146.3540744958216	0.0	0.0	82.22379218766066
0.220515	14.021754999999999	5.496	1128.2724320309578	0.0	0.0	31.204433699801704
0.222435	36.0	12.0	1139.322589421384	0.0	0.0	56.3083303245666
0.226405	20.0	11.999999999999995	1162.2322513275865	0.0	0.0	47.56345988299054
0.226405	20.0	11.999999999999995	1162.2322513275865	0.0	0.0	47.56345988299054
0.236325	29.0	22.0	1219.8355947063615	0.0	0.0	68.13028459879949
0.234195	45.0	19.0	1207.4242285262792	0.0	0.0	72.51570419764596
0.236325	29.0	22.0	1219.8355947063615	0.0	0.0	68.13028459879949
0.230715	43.99999999999999	35.99999999999999	1187.1968965155659	0.0	0.0	101.79165253623616
0.236285	20.0	11.999999999999995	1219.6023021134172	0.0	0.0	45.596690731652004
0.236335	27.0	23.0	1219.8939191410975	0.0	0.0	67.60789966547945
0.236285	20.0	11.999999999999995	1219.6023021134172	0.0	0.0	45.596690731652004
0.236285	20.0	11.999999999999995	1219.6023021134172	0.0	0.0	45.596690731652004
0.245995	36.0	13.0	1276.4747071099507	0.0	0.0	53.33790079176148
0.245575	27.0	23.0	1274.0047657938596	0.0	0.0	65.15218817394637
0.245575	27.0	23.0	1274.0047657938596	0.0	0.0	65.15218817394637
0.245385	19.4996	15.9853	1272.887706151411	0.0	0.0	49.247377839375034
0.243785	45.0	19.0	1263.4881786674166	0.0	0.0	69.69227281912669
0.246165	20.0	11.999999999999995	1277.4747002667764	0.0	0.0	43.78920324155678
0.244235	8.449	5.618800000000001	1266.130477697802	0.0	0.0	24.42215039709316
0.246165	20.0	11.999999999999995	1277.4747002667764	0.0	0.0	43.78920324155678
0.242435	32.0	20.0	1255.5674783875909	0.0	0.0	65.79366788611017
0.249625	9.3	6.1999999999999975	1297.8593807764473	0.0	0.0	25.71313586686711
0.246165	20.0	11.999999999999995	1277.4747002667764	0.0	0.0	43.78920324155678
0.246325	38.72023199999999	26.20747599999999	1278.4160044948344	0.0	0.0	79.0529908350717
0.246075	29.0	22.0	1276.9452738232835	0.0	0.0	65.52524194657298
0.248015	37.99999999999999	34.999999999999986	1288.3664701413807	0.0	0.0	88.94923999736693
0.243785	45.0	19.0	1263.4881786674166	0.0	0.0	69.69227281912669
0.253365	45.0	19.0	1319.9618266428888	0.0	0.0	67.08619892639612
0.254795	27.0	23.0	1328.4314020692148	0.0	0.0	62.88130487261942
0.256045	20.0	11.999999999999995	1335.8433008938925	0.0	0.0	42.12254362873932
0.253365	45.0	19.0	1319.9618266428888	0.0	0.0	67.08619892639612
0.256045	20.0	11.999999999999995	1335.8433008938925	0.0	0.0	42.12254362873932
0.255815	29.0	22.0	1334.478922194597	0.0	0.0	63.12324820832225
0.253535	36.0	12.0	1320.9681600621684	0.0	0.0	49.506791302733376
0.253365	45.0	19.0	1319.9618266428888	0.0	0.0	67.08619892639612
0.265485	37.99999999999999	34.999999999999986	1392.0704369920365	0.0	0.0	83.22698081671838
0.264015	27.0	23.0	1383.2855287931409	0.0	0.0	60.7708889568352
0.265925	20.0	11.999999999999995	1394.702019223357	0.0	0.0	40.58100104646247
0.265925	20.0	11.999999999999995	1394.702019223357	0.0	0.0	40.58100104646247
0.260725	40.99999999999998	36.99999999999999	1363.663021707202	0.0	0.0	89.16049339433307
0.262945	45.0	19.0	1376.8978258712225	0.0	0.0	64.67106242859224
0.26555500000000004	29.0	22.0	1392.489033558276	0.0	0.0	60.89941887724968
0.262945	45.0	19.0	1376.8978258712225	0.0	0.0	64.67106242859224
0.265925	20.0	11.999999999999995	1394.702019223357	0.0	0.0	40.58100104646247
0.26060500000000003	54.077007	26.294924	1362.9483270937835	0.0	0.0	81.05123618313083
0.275805	20.0	11.999999999999995	1454.0448313988004	0.0	0.0	39.15111581968304
0.275805	20.0	11.999999999999995	1454.0448313988004	0.0	0.0	39.15111581968304
0.275885	32.0	20.0	1454.5272994327365	0.0	0.0	58.10182479399017
0.274035	36.0	13.0	1443.378251259588	0.0	0.0	47.99572114161857
0.274015	11.958299999999998	5.9731999999999985	1443.2578127372938	0.0	0.0	24.986096707562083
0.275805	20.0	11.999999999999995	1454.0448313988004	0.0	0.0	39.15111581968304
0.275805	20.0	11.999999999999995	1454.0448313988004	0.0	0.0	39.15111581968304
0.275295	29.0	22.0	1450.9698347363085	0.0	0.0	58.83478075778409
0.275075	30.72537800000001	23.40581700000001	1449.6437591104889	0.0	0.0	62.048824774094996
0.285675	20.0	11.999999999999995	1513.8049879526711	0.0	0.0	37.82258950069883
0.282425	27.0	23.0	1494.0747958316522	0.0	0.0	56.974193225593744
0.285125	8.449	5.618800000000001	1510.4624346180967	0.0	0.0	20.97572140676627
0.285035	29.0	22.0	1509.9156107414044	0.0	0.0	56.91295393355351
